A	a
A'BA	a b a
ABACA'TE	a b a k a tS i
ABACATE'IRO	a b a k a t ej r u
ABACAXI'	a b a k a S i
ABA'DE	a b a dZ i
ABADI'A	a b a dZ i a
ABAFA'NTE	a b a f a~ tS i
ABAFA'R	a b a f a X
ABA'FO	a b a f u
ABAIXA'R	a b a j S a X
ABA'IXO	a b a j S u
ABALA'DA	a b a l a d a
ABALANÇA'R	a b a l a~ s a X
ABALA'R	a b a l a X
ABALIZA'R	a b a l i z a X
ABA'LO	a b a l u
ABALROA'R	a b a w r o a X
ABANADE'LA	a b a n a d E l a
ABANADU'RA	a b a n a d u r a
ABANA'R	a b a n a X
ABANDALHA'R	a b a~ d a L a X
ABANDONA'R	a b a~ d o n a X
ABANDO'NO	a b a~ d o~ n u
ABANI'CO	a b a n i k u
ABA'NO	a b a~ n u
ABANÃ'O	a b a n a~ w~
ABA'RCA	a b a X k a
ABARCA'NTE	a b a X k a~ tS i
ABARCA'R	a b a X k a X
ABARROTA'R	a b a R o t a X
ABASTA'NÇA	a b a s t a~ s a
ABASTA'R	a b a s t a X
ABASTARDA'R	a b a s t a R d a X
ABASTECEDO'URO	a b a s t e s e d ow r u
ABASTECE'R	a b a s t e s e X
ABASTONA'R	a b a s t o n a X
ABATATA'R	a b a t a t a X
ABA'TE	a b a tS i
ABATE'R	a b a t e X
ABAULA'R	a b a u l a X
ABCE'SSO	a b s E s u
ABCI'SSA	a b s i s a
ABDICA'NTE	a b dZ i k a~ tS i
ABDICA'R	a b dZ i k a X
ABDICATI'VO	a b dZ i k a tS i v u
ABDICATÁ'RIO	a b dZ i k a t a r i u
ABDICATÓ'RIO	a b dZ i k a t O r i u
ABDOMINA'L	a b d o m i~ n a w
ABDUCE'NTE	a b d u s e~ tS i
ABDUTI'VO	a b d u tS i v u
ABDUTO'R	a b d u t o X
ABDUZI'R	a b d u z i X
ABDUÇÃ'O	a b d u s a~ w~
ABDÔ'MEN	a b d o m e~
ABECEDÁ'RIO	a b e s e d a r i u
ABEIRA'R	a b e j r a X
ABEIÇA'R	a b e j s a X
ABE'LHA	a b e L a
ABELHU'DO	a b e L u d u
ABELHÃ'O	a b e L a~ w~
ABELIA'NO	a b e l i a~ n u
ABENCERRA'GEM	a b e~ s e R a Z e~j~
ABENÇOADE'IRA	a b e~ s o a d ej r a
