A	a
ABA	a b a
ABACATE	a b a k a tS i
ABACATEIRO	a b a k a t ej r u
ABACAXI	a b a k a S i
ABADE	a b a dZ i
ABADIA	a b a dZ i a
ABAFANTE	a b a f a~ tS i
ABAFAR	a b a f a X
ABAFO	a b a f u
ABAIXAR	a b a j S a X
ABAIXO	a b a j S u
ABALADA	a b a l a d a
ABALANÇAR	a b a l a~ s a X
ABALAR	a b a l a X
ABALIZAR	a b a l i z a X
ABALO	a b a l u
ABALROAR	a b a w r o a X
ABANADELA	a b a n a d E l a
ABANADURA	a b a n a d u r a
ABANAR	a b a n a X
ABANDALHAR	a b a~ d a L a X
ABANDONAR	a b a~ d o n a X
ABANDONO	a b a~ d o~ n u
ABANICO	a b a n i k u
ABANO	a b a~ n u
ABANÃO	a b a n a~ w~
ABARCA	a b a X k a
ABARCANTE	a b a X k a~ tS i
ABARCAR	a b a X k a X
ABARROTAR	a b a R o t a X
ABASTANÇA	a b a s t a~ s a
ABASTAR	a b a s t a X
ABASTARDAR	a b a s t a R d a X
ABASTECEDOURO	a b a s t e s e d ow r u
ABASTECER	a b a s t e s e X
ABASTONAR	a b a s t o n a X
ABATATAR	a b a t a t a X
ABATE	a b a tS i
ABATER	a b a t e X
ABAULAR	a b a u l a X
ABCESSO	a b s E s u
ABCISSA	a b s i s a
ABDICANTE	a b dZ i k a~ tS i
ABDICAR	a b dZ i k a X
ABDICATIVO	a b dZ i k a tS i v u
ABDICATÁRIO	a b dZ i k a t a r i u
ABDICATÓRIO	a b dZ i k a t O r i u
ABDOMINAL	a b d o m i~ n a w
ABDUCENTE	a b d u s e~ tS i
ABDUTIVO	a b d u tS i v u
ABDUTOR	a b d u t o X
ABDUZIR	a b d u z i X
ABDUÇÃO	a b d u s a~ w~
ABDÔMEN	a b d o m e~
ABECEDÁRIO	a b e s e d a r i u
ABEIRAR	a b e j r a X
ABEIÇAR	a b e j s a X
ABELHA	a b e L a
ABELHUDO	a b e L u d u
ABELHÃO	a b e L a~ w~
ABELIANO	a b e l i a~ n u
ABENCERRAGEM	a b e~ s e R a Z e~j~
ABENÇOADEIRA	a b e~ s o a d ej r a
ABENÇOAR	a b e~ s o a X
ABERRANTE	a b e R a~ tS i
ABERRAR	a b e R a X
ABERRATIVO	a b e R a tS i v u
ABERRAÇÃO	a b e R a s a~ w~
