A	a
ABA	a ' b a
ABACATE	a b a c a ' t e
ABACATEIRO	a b a c a t e ' i r o
ABACAXI	a b a c a x i '
ABADE	a b a ' d e
ABADIA	a b a d i ' a
ABAFANTE	a b a f a ' n t e
ABAFAR	a b a f a ' r
ABAFO	a b a ' f o
ABAIXAR	a b a i x a ' r
ABAIXO	a b a ' i x o
ABALADA	a b a l a ' d a
ABALANÇAR	a b a l a n ç a ' r
ABALAR	a b a l a ' r
ABALIZAR	a b a l i z a ' r
ABALO	a b a ' l o
ABALROAR	a b a l r o a ' r
ABANADELA	a b a n a d e ' l a
ABANADURA	a b a n a d u ' r a
ABANAR	a b a n a ' r
ABANDALHAR	a b a n d a l h a ' r
ABANDONAR	a b a n d o n a ' r
ABANDONO	a b a n d o ' n o
ABANICO	a b a n i ' c o
ABANO	a b a ' n o
ABANÃO	a b a n ã ' o
ABARCA	a b a ' r c a
ABARCANTE	a b a r c a ' n t e
ABARCAR	a b a r c a ' r
ABARROTAR	a b a r r o t a ' r
ABASTANÇA	a b a s t a ' n ç a
ABASTAR	a b a s t a ' r
ABASTARDAR	a b a s t a r d a ' r
ABASTECEDOURO	a b a s t e c e d o ' u r o
ABASTECER	a b a s t e c e ' r
ABASTONAR	a b a s t o n a ' r
ABATATAR	a b a t a t a ' r
ABATE	a b a ' t e
ABATER	a b a t e ' r
ABAULAR	a b a u l a ' r
ABCESSO	a b c e ' s s o
ABCISSA	a b c i ' s s a
ABDICANTE	a b d i c a ' n t e
ABDICAR	a b d i c a ' r
ABDICATIVO	a b d i c a t i ' v o
ABDICATÁRIO	a b d i c a t á ' r i o
ABDICATÓRIO	a b d i c a t ó ' r i o
ABDOMINAL	a b d o m i n a ' l
ABDUCENTE	a b d u c e ' n t e
ABDUTIVO	a b d u t i ' v o
ABDUTOR	a b d u t o ' r
ABDUZIR	a b d u z i ' r
ABDUÇÃO	a b d u ç ã ' o
ABDÔMEN	a b d ô ' m e n
ABECEDÁRIO	a b e c e d á ' r i o
ABEIRAR	a b e i r a ' r
ABEIÇAR	a b e i ç a ' r
ABELHA	a b e ' l h a
ABELHUDO	a b e l h u ' d o
ABELHÃO	a b e l h ã ' o
ABELIANO	a b e l i a ' n o
ABENCERRAGEM	a b e n c e r r a ' g e m
ABENÇOADEIRA	a b e n ç o a d e ' i r a
ABENÇOAR	a b e n ç o a ' r
ABERRANTE	a b e r r a ' n t e
ABERRAR	a b e r r a ' r
ABERRATIVO	a b e r r a t i ' v o
ABERRAÇÃO	a b e r r a ç ã ' o
ABERTA	a b e ' r t a
ABERTIVO	a b e r t i ' v o
ABERTO	a b e ' r t o
ABERTURA	a b e r t u ' r a
ABESOIRAR	a b e s o i r a ' r
ABESOURAR	a b e s o u r a ' r
ABESPINHAR	a b e s p i n h a ' r
ABETO	a b e ' t o
ABETUMAR	a b e t u m a ' r
ABISMAL	a b i s m a ' l
ABISMAR	a b i s m a ' r
ABISMO	a b i ' s m o
ABISSAL	a b i s s a ' l
ABISSÍNIO	a b i s s í ' n i o
ABJETO	a b j e ' t o
ABJEÇÃO	a b j e ç ã ' o
ABJUDICAR	a b j u d i c a ' r
ABJURAR	a b j u r a ' r
ABJURATÓRIO	a b j u r a t ó ' r i o
ABLATIVO	a b l a t i ' v o
ABLAÇÃO	a b l a ç ã ' o
ABNEGAR	a b n e g a ' r
ABNEGATIVO	a b n e g a t i ' v o
ABOBADADO	a b o b a d a ' d o
ABOBAR	a b o b a ' r
ABOBORAL	a b o b o r a ' l
ABOBORAR	a b o b o r a ' r
ABOBOREIRA	a b o b o r e ' i r a
ABOCAMENTO	a b o c a m e ' n t o
ABOCANHAR	a b o c a n h a ' r
ABOLICIONISMO	a b o l i c i o n i ' s m o
ABOLICIONISTA	a b o l i c i o n i ' s t a
ABOLIR	a b o l i ' r
ABOLITIVO	a b o l i t i ' v o
ABOMINAR	a b o m i n a ' r
ABONAR	a b o n a ' r
ABONATÓRIO	a b o n a t ó ' r i o
ABONO	a b o ' n o
ABORDAGEM	a b o r d a ' g e m
ABORDAR	a b o r d a ' r
ABORDO	a b o ' r d o
ABORRECER	a b o r r e c e ' r
ABORTADEIRA	a b o r t a d e ' i r a
ABORTAR	a b o r t a ' r
ABORTIVO	a b o r t i ' v o
ABORTO	a b o ' r t o
ABORÍGENE	a b o r í ' g e n e
ABOTOADEIRA	a b o t o a d e ' i r a
ABOTOADURA	a b o t o a d u ' r a
ABOTOAR	a b o t o a ' r
ABRACADABRA	a b r a c a d a ' b r a
ABRANDAR	a b r a n d a ' r
ABRANGER	a b r a n g e ' r
ABRANGÊNCIA	a b r a n g ê ' n c i a
ABRASADOR	a b r a s a d o ' r
ABRASANTE	a b r a s a ' n t e
ABRASAR	a b r a s a ' r
ABRASILEIRAR	a b r a s i l e i r a ' r
ABRASIVO	a b r a s i ' v o
ABRASÃO	a b r a s ã ' o
ABRAÇADEIRA	a b r a ç a d e ' i r a
ABRAÇAR	a b r a ç a ' r
ABRAÇO	a b r a ' ç o
ABRE	a ' b r e
ABREACÇÃO	a b r e a c ç ã ' o
ABRENUNCIAR	a b r e n u n c i a ' r
ABREVIAR	a b r e v i a ' r
ABREVIATIVO	a b r e v i a t i ' v o
ABREVIATURA	a b r e v i a t u ' r a
ABRIGADA	a b r i g a ' d a
ABRIGADOIRO	a b r i g a d o ' i r o
ABRIGADOURO	a b r i g a d o ' u r o
ABRIGAR	a b r i g a ' r
ABRIGO	a b r i ' g o
ABRILHANTAR	a b r i l h a n t a ' r
ABRIR	a b r i ' r
ABROLHAR	a b r o l h a ' r
ABROLHOSO	a b r o l h o ' s o
ABRUNHAL	a b r u n h a ' l
ABRUNHEIRO	a b r u n h e ' i r o
ABRUNHO	a b r u ' n h o
ABRUPTO	a b r u ' p t o
ABSENTISMO	a b s e n t i ' s m o
ABSENTISTA	a b s e n t i ' s t a
ABSIDE	a b s i ' d e
ABSINTO	a b s i ' n t o
ABSOLUTO	a b s o l u ' t o
ABSOLUTÓRIO	a b s o l u t ó ' r i o
ABSOLVER	a b s o l v e ' r
ABSOLVIÇÃO	a b s o l v i ç ã ' o
ABSORTO	a b s o ' r t o
ABSORVEDOR	a b s o r v e d o ' r
ABSORVEDOURO	a b s o r v e d o ' u r o
ABSORVENTE	a b s o r v e ' n t e
ABSORVER	a b s o r v e ' r
ABSORVIBILIDADE	a b s o r v i b i l i d a ' d e
ABSORVÊNCIA	a b s o r v ê ' n c i a
ABSORÇÃO	a b s o r ç ã ' o
ABSTENCIONISMO	a b s t e n c i o n i ' s m o
ABSTENCIONISTA	a b s t e n c i o n i ' s t a
ABSTENÇÃO	a b s t e n ç ã ' o
ABSTER	a b s t e ' r
ABSTINENTE	a b s t i n e ' n t e
ABSTINÊNCIA	a b s t i n ê ' n c i a
ABSTRACIONISMO	a b s t r a c i o n i ' s m o
ABSTRAIR	a b s t r a i ' r
ABSTRATIVO	a b s t r a t i ' v o
ABSTRATO	a b s t r a ' t o
ABSTRAÇÃO	a b s t r a ç ã ' o
ABSTUSA	a b s t u ' s a
ABSTÉMIO	a b s t é ' m i o
ABSURDEZ	a b s u r d e ' z
ABSURDEZA	a b s u r d e ' z a
ABSURDO	a b s u ' r d o
ABSÍNTIO	a b s í ' n t i o
ABULIA	a b u l i ' a
ABULÍCO	a b u l í ' c o
ABUNDANTE	a b u n d a ' n t e
ABUNDAR	a b u n d a ' r
ABUNDÂNCIA	a b u n d â ' n c i a
ABURGUESAR	a b u r g u e s a ' r
ABUSAR	a b u s a ' r
ABUSIVO	a b u s i ' v o
ABUSO	a b u ' s o
ABUTRE	a b u ' t r e
ABÓBADA	a b ó ' b a d a
ABÓBORA	a b ó ' b o r a
ACABADOTE	a c a b a d o ' t e
ACABAR	a c a b a ' r
ACABRUNHADO	a c a b r u n h a ' d o
ACADEMIA	a c a d e m i ' a
ACADEMISMO	a c a d e m i ' s m o
ACADÉMICO	a c a d é ' m i c o
