A	a
A'BA	a - b a
ABACA'TE	a - b a - c a - t e
ABACATE'IRO	a - b a - c a - t e i - r o
ABACAXI'	a - b a - c a - x i
ABA'DE	a - b a - d e
ABADI'A	a - b a - d i - a
ABAFA'NTE	a - b a - f a n - t e
ABAFA'R	a - b a - f a r
ABA'FO	a - b a - f o
ABAIXA'R	a - b a i - x a r
ABA'IXO	a - b a i - x o
ABALA'DA	a - b a - l a - d a
ABALANÇA'R	a - b a - l a n - ç a r
ABALA'R	a - b a - l a r
ABALIZA'R	a - b a - l i - z a r
ABA'LO	a - b a - l o
ABALROA'R	a - b a l - r o - a r
ABANADE'LA	a - b a - n a - d e - l a
ABANADU'RA	a - b a - n a - d u - r a
ABANA'R	a - b a - n a r
ABANDALHA'R	a - b a n - d a - l h a r
ABANDONA'R	a - b a n - d o - n a r
ABANDO'NO	a - b a n - d o - n o
ABANI'CO	a - b a - n i - c o
ABA'NO	a - b a - n o
ABANÃ'O	a - b a - n ã o
ABA'RCA	a - b a r - c a
ABARCA'NTE	a - b a r - c a n - t e
ABARCA'R	a - b a r - c a r
ABARROTA'R	a - b a - r r o - t a r
ABASTA'NÇA	a - b a s - t a n - ç a
ABASTA'R	a - b a s - t a r
ABASTARDA'R	a - b a s - t a r - d a r
ABASTECEDO'URO	a - b a s - t e - c e - d o u - r o
ABASTECE'R	a - b a s - t e - c e r
ABASTONA'R	a - b a s - t o - n a r
ABATATA'R	a - b a - t a - t a r
ABA'TE	a - b a - t e
ABATE'R	a - b a - t e r
ABAULA'R	a - b a u - l a r
ABCE'SSO	a b - c e - s s o
ABCI'SSA	a b - c i - s s a
ABDICA'NTE	a b - d i - c a n - t e
ABDICA'R	a b - d i - c a r
ABDICATI'VO	a b - d i - c a - t i - v o
ABDICATÁ'RIO	a b - d i - c a - t á - r i o
ABDICATÓ'RIO	a b - d i - c a - t ó - r i o
ABDOMINA'L	a b - d o - m i - n a l
ABDUCE'NTE	a b - d u - c e n - t e
ABDUTI'VO	a b - d u - t i - v o
ABDUTO'R	a b - d u - t o r
ABDUZI'R	a b - d u - z i r
ABDUÇÃ'O	a b - d u - ç ã o
ABDÔ'MEN	a b - d ô - m e n
ABECEDÁ'RIO	a - b e - c e - d á - r i o
ABEIRA'R	a - b e i - r a r
ABEIÇA'R	a - b e i - ç a r
ABE'LHA	a - b e - l h a
ABELHU'DO	a - b e - l h u - d o
ABELHÃ'O	a - b e - l h ã o
ABELIA'NO	a - b e - l i - a - n o
ABENCERRA'GEM	a - b e n - c e - r r a - g e m
ABENÇOADE'IRA	a - b e n - ç o - a - d e i - r a
ABENÇOA'R	a - b e n - ç o - a r
ABERRA'NTE	a - b e - r r a n - t e
ABERRA'R	a - b e - r r a r
ABERRATI'VO	a - b e - r r a - t i - v o
ABERRAÇÃ'O	a - b e - r r a - ç ã o
ABE'RTA	a - b e r - t a
ABERTI'VO	a - b e r - t i - v o
ABE'RTO	a - b e r - t o
ABERTU'RA	a - b e r - t u - r a
ABESOIRA'R	a - b e - s o i - r a r
ABESOURA'R	a - b e - s o u - r a r
ABESPINHA'R	a - b e s - p i - n h a r
ABE'TO	a - b e - t o
ABETUMA'R	a - b e - t u - m a r
ABISMA'L	a - b i s - m a l
ABISMA'R	a - b i s - m a r
ABI'SMO	a - b i s - m o
ABISSA'L	a - b i - s s a l
ABISSÍ'NIO	a - b i - s s í - n i o
ABJE'TO	a b - j e - t o
ABJEÇÃ'O	a b - j e - ç ã o
ABJUDICA'R	a b - j u - d i - c a r
ABJURA'R	a b - j u - r a r
ABJURATÓ'RIO	a b - j u - r a - t ó - r i o
ABLATI'VO	a - b l a - t i - v o
ABLAÇÃ'O	a - b l a - ç ã o
ABNEGA'R	a b - n e - g a r
ABNEGATI'VO	a b - n e - g a - t i - v o
ABOBADA'DO	a - b o - b a - d a - d o
ABOBA'R	a - b o - b a r
ABOBORA'L	a - b o - b o - r a l
ABOBORA'R	a - b o - b o - r a r
ABOBORE'IRA	a - b o - b o - r e i - r a
ABOCAME'NTO	a - b o - c a - m e n - t o
ABOCANHA'R	a - b o - c a - n h a r
ABOLICIONI'SMO	a - b o - l i - c i o - n i s - m o
ABOLICIONI'STA	a - b o - l i - c i o - n i s - t a
ABOLI'R	a - b o - l i r
ABOLITI'VO	a - b o - l i - t i - v o
ABOMINA'R	a - b o - m i - n a r
ABONA'R	a - b o - n a r
ABONATÓ'RIO	a - b o - n a - t ó - r i o
ABO'NO	a - b o - n o
ABORDA'GEM	a - b o r - d a - g e m
ABORDA'R	a - b o r - d a r
ABO'RDO	a - b o r - d o
ABORRECE'R	a - b o - r r e - c e r
ABORTADE'IRA	a - b o r - t a - d e i - r a
ABORTA'R	a - b o r - t a r
ABORTI'VO	a - b o r - t i - v o
ABO'RTO	a - b o r - t o
ABORÍ'GENE	a - b o - r í - g e - n e
ABOTOADE'IRA	a - b o - t o - a - d e i - r a
ABOTOADU'RA	a - b o - t o - a - d u - r a
ABOTOA'R	a - b o - t o - a r
ABRACADA'BRA	a - b r a - c a - d a - b r a
ABRANDA'R	a - b r a n - d a r
ABRANGE'R	a - b r a n - g e r
ABRANGÊ'NCIA	a - b r a n - g ê n - c i a
ABRASADO'R	a - b r a - s a - d o r
ABRASA'NTE	a - b r a - s a n - t e
ABRASA'R	a - b r a - s a r
ABRASILEIRA'R	a - b r a - s i - l e i - r a r
ABRASI'VO	a - b r a - s i - v o
ABRASÃ'O	a - b r a - s ã o
ABRAÇADE'IRA	a - b r a - ç a - d e i - r a
ABRAÇA'R	a - b r a - ç a r
ABRA'ÇO	a - b r a - ç o
A'BRE	a - b r e
ABREACÇÃ'O	a b - r e - a c - ç ã o
ABRENUNCIA'R	a - b r e - n u n - c i - a r
ABREVIA'R	a - b r e - v i - a r
ABREVIATI'VO	a - b r e - v i a - t i - v o
ABREVIATU'RA	a - b r e - v i a - t u - r a
ABRIGA'DA	a - b r i - g a - d a
ABRIGADO'IRO	a - b r i - g a - d o i - r o
ABRIGADO'URO	a - b r i - g a - d o u - r o
ABRIGA'R	a - b r i - g a r
ABRI'GO	a - b r i - g o
ABRILHANTA'R	a - b r i - l h a n - t a r
ABRI'R	a - b r i r
ABROLHA'R	a - b r o - l h a r
ABROLHO'SO	a - b r o - l h o - s o
ABRUNHA'L	a - b r u - n h a l
ABRUNHE'IRO	a - b r u - n h e i - r o
ABRU'NHO	a - b r u - n h o
ABRU'PTO	a - b r u p - t o
ABSENTI'SMO	a b - s e n - t i s - m o
ABSENTI'STA	a b - s e n - t i s - t a
ABSI'DE	a b - s i - d e
ABSI'NTO	a b - s i n - t o
ABSOLU'TO	a b - s o - l u - t o
ABSOLUTÓ'RIO	a b - s o - l u - t ó - r i o
ABSOLVE'R	a b - s o l - v e r
ABSOLVIÇÃ'O	a b - s o l - v i - ç ã o
ABSO'RTO	a b - s o r - t o
ABSORVEDO'R	a b - s o r - v e - d o r
ABSORVEDO'URO	a b - s o r - v e - d o u - r o
ABSORVE'NTE	a b - s o r - v e n - t e
ABSORVE'R	a b - s o r - v e r
ABSORVIBILIDA'DE	a b - s o r - v i - b i - l i - d a - d e
ABSORVÊ'NCIA	a b - s o r - v ê n - c i a
ABSORÇÃ'O	a b - s o r - ç ã o
ABSTENCIONI'SMO	a b s - t e n - c i o - n i s - m o
ABSTENCIONI'STA	a b s - t e n - c i o - n i s - t a
ABSTENÇÃ'O	a b s - t e n - ç ã o
ABSTE'R	a b s - t e r
ABSTINE'NTE	a b s - t i - n e n - t e
ABSTINÊ'NCIA	a b s - t i - n ê n - c i a
ABSTRACIONI'SMO	a b s - t r a - c i o - n i s - m o
ABSTRAI'R	a b s - t r a - i r
ABSTRATI'VO	a b s - t r a - t i - v o
ABSTRA'TO	a b s - t r a - t o
ABSTRAÇÃ'O	a b s - t r a - ç ã o
ABSTU'SA	a b s - t u - s a
ABSTÉ'MIO	a b s - t é - m i o
